"Shopping Cart Price Rules","Shopping Cart Price Rules"
"Add New Rule","Add New Rule"
"Save and Continue Edit","Save and Continue Edit"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","New Rule"
"Rule Information","Rule Information"
Actions,Actions
"Set appropriate point action","Set appropriate point action"
"Type Of Action","Type Of Action"
Value,Value
Conditions,Conditions
"Apply the rule only if the following conditions are met (leave blank for all products).","Apply the rule only if the following conditions are met (leave blank for all products)."
"Manage Coupon Codes","Manage Coupon Codes"
"Coupons Information","Coupons Information"
"Coupon Qty","Coupon Qty"
"Code Length","Code Length"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"Code Format","Code Format"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Dash Every X Characters","Dash Every X Characters"
"If empty no separation.","If empty no separation."
Generate,Generate
"Coupon Code","Coupon Code"
Created,Created
Uses,Uses
No,No
Yes,Yes
"Times Used","Times Used"
CSV,CSV
"Excel XML","Excel XML"
Delete,Delete
"Are you sure you want to delete the selected coupon(s)?","Are you sure you want to delete the selected coupon(s)?"
Labels,Labels
"Top Shopping Cart Label","Top Shopping Cart Label"
"Default Rule Top Cart Label for All Store Views","Default Rule Top Cart Label for All Store Views"
"Store View Specific Top Shopping Cart Labels","Store View Specific Top Shopping Cart Labels"
"Shopping Cart Summary Label","Shopping Cart Summary Label"
"Default Rule Cart Summary Label for All Store Views","Default Rule Cart Summary Label for All Store Views"
"Store View Specific Shopping Cart Summary Labels","Store View Specific Shopping Cart Summary Labels"
"General Information","General Information"
"Rule Name","Rule Name"
Status,Status
Active,Active
Inactive,Inactive
Websites,Websites
"Customer Groups","Customer Groups"
"From Date","From Date"
"To Date","To Date"
Priority,Priority
"Reward Points Cart Point Rule","Reward Points Cart Point Rule"
ID,ID
Rule,Rule
"Start on","Start on"
"End on","End on"
"Catalog Point Rules","Catalog Point Rules"
"Create New Rule","Create New Rule"
Apply,Apply
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Catalog Point Rule","Catalog Point Rule"
"Customer ID","Customer ID"
"Customer Email","Customer Email"
"Order ID","Order ID"
"Points type","Points type"
"Accumulated points","Accumulated points"
"Spent points","Spent points"
"Reward Points","Reward Points"
"%1 points available on %2","%1 points available on %2"
"%1 points available","%1 points available"
"User Points (%1)","User Points (%1)"
Points,Points
"Use negative value in order to remove points.","Use negative value in order to remove points."
Description,Description
"Description will be shown within user account as well as on notification email.","Description will be shown within user account as well as on notification email."
"Send Notification Email","Send Notification Email"
"No Points Found","No Points Found"
"Point Type","Point Type"
"Accumulated Points","Accumulated Points"
"Spent Points","Spent Points"
Stores,Stores
"Start Date","Start Date"
"End Date","End Date"
"Referred customer","Referred customer"
Sent,Sent
Cancel,Cancel
"Not Sent","Not Sent"
Sending,Sending
Paused,Paused
"Store input %1","Store input %1"
"Referral registration points (%1)","Referral registration points (%1)"
"Required point usage for order #%1 (%2)","Required point usage for order #%1 (%2)"
