"Points","punten"
"Reward points","Bonus punten"
"You have %1 point(s) available","U beschikt over %1 punt(en)"
"To get a discount you need at least %1 points","Om korting te krijgen moet u minsten over %1 punten beschikken"
"Enter quantity of credit you want to use.","Voer het aantal punten in wat u wilt gebruiken"
"%1 points","%1 punten"
"Apply Points","punten Toepassen"
"Apply points","punten toepassen"
Redeem Loyalty Points,"punten Toepassen"
"You are currently using %1 point(s) of your %2 point(s) available","U gebruikt momenteel %1 punt(en) van de %2 punt(en) totaal beschikbaar"
"Remove Points","punten verwijderen"
"Cancel point usage","punten verwijderen"
"Not enough points available.","Er zijn niet genoeg punten beschikbaar"
"The minimum required points is not reached","Het minimum aantal punten is nog niet bereikt"
"Amount of points wrongly used","Verkeerd aantal punten ingevoerd"
"Your Points","Uw punten"
"Total Accumulated Points","Totaal gespaarde punten"
"Total Points Spent","Totaal uitgegeven punten"
"Points waiting for validation","punten wachtend op goedkeuring"
"Your cart amount has not reached the minimum required points","Uw winkelwagen heeft de minimale waarde voor de punten niet bereikt"
"yes","ja"
"no","nee"
"Please enter a valid email address","Geef een geldig email adres"
"Please enter your friend name","Geef de naam van uw vriend"
"This email has been already submitted","Deze mail is al eens verstuurd"
"There was a problem with the invitation","Er is een probleem met de uitnodiging"
"This email was successfully invited","Succesvol uitgenodigd"
"Friend's name","Naam vriend"
"Statistics","Statistieken"
"Reward Points","punt systeem"
"Customer full name","Klant"
"Customer email","Email"
"Accumulated points","punt totaal"
"Spent points","punten gebruikt"
"Add New","Toevoegen"
"Action Type","Aktie type"
"Rule Title","Naam regel"
"Type of action","Soort aktie"
"Check Order Points","Controleer de order punten"
"Refresh customer points","Vernieuw puntentotaal"
"Defaults","Standaard"
"Points gathered per Money spent","punten verzameld door betalingen"
"Points gathered for 1 unit of money spent. (e.g. if set to 2, you will obtain 100 points for $50 spent).","punten verzameld voor eenheid van het geld besteed. (bijv. indien ingesteld op 2, zul je 100 punten moeten hebben om € 50,- te besteden)."
