"Points","Vernostné body"
"Reward points","Vernostné body"
"You have %1 point(s) available","K dispozícii máte %1 bodov"
"To get a discount you need at least %1 points","Aby ste získali zľavu, potrebujete aspoň %1 bodov"
"Enter quantity of credit you want to use.","Zadajte výšku kreditu, ktorý chcete použiť."
"%1 points","%1 bodov"
"Apply Points","Použiť body"
"Apply points","Použiť body"
"Redeem Loyalty Points","Použiť body"
"You are currently using %1 point(s) of your %2 point(s) available","Práve používate %1 bodov z %2 bodov, ktoré máte k dispozícii"
"Remove Points","Odstrániť body"
"Cancel point usage","Odstrániť body"
"Not enough points available.","Nedostatočný počet bodov."
"The minimum required points is not reached","Minimálny požadovaný počet bodov nebol dosiahnutý."
"Amount of points wrongly used","Suma bodov nesprávne použitá"
"Your Points","Vaše body"
"Total Accumulated Points","Celkový počet nazbieraných bodov"
"Total Points Spent","Celkový počet minutých bodov"
"Points waiting for validation","Body čakajúce na schválenie"
"Your cart amount has not reached the minimum required points","Suma Vášho košíka nedosiahla minimálny požadovaný počet bodov"
"You don't have any recorded points.","Zatiaľ nemáte žiadne vernostné body."
"yes","Áno"
"no","Nie"
"Please enter a valid email address","Prosím, zadajte platnú emailovú adresu"
"Please enter your friend name","Prosím, zadajte meno Vášho priateľa"
"This email has been already submitted","Táto emailová adresa už bola použitá"
"There was a problem with the invitation","Vyskytol sa problém s pozvánkou"
"This email was successfully invited","Pozvánka bola úspešne odoslaná na zadanú emailovú adresu."
"Friend's name","Meno priateľa"
"Statistics","Štatistiky"
"Reward Points","Vernostné body"
"Customer full name","Plné meno zákazníka"
"Customer email","Email zákazníka"
"Accumulated points","Nazbierané body"
"Spent points","Minuté body"
"Add New","Pridať nové"
"Action Type","Typ akcie"
"Rule Title","Názov pravidla"
"Type of action","Typ akcie"
"Check Order Points","Skontrolovať body objednávky"
"Refresh customer points","Obnoviť body zákazníka"
"Defaults","Prednastavené"
"Points gathered per Money spent","Minuté body voči minutým peniazom"
"Points gathered for 1 unit of money spent. (e.g. if set to 2, you will obtain 100 points for $50 spent).","Body získané za jednotku vynaložených peňazí. (Napr. ak je nastavená na 2, získate 100 bodov za 50 minutých eur)."
"Points to obtain 1 €","Počet bodov za 1 €"
"Amount of points required to obtain a discount.","Požadovaný počet bodov na získanie zľavy."
"Apply points by step","Použiť body po krokoch"
"Apply credit points step by step. e.g. 250, 500, 750, etc.","Použiť body v intervaloch, napr. 250, 500, 750 atď."
"Step value","Krok intervalu"
"Step Value","Krok intervalu"
"The step value","Krok intervalu"
"Use max amount of points","Použiť maximum bodov"
"Apply the maximum amount of point to the order","Použiť maximum bodov na objednávku"
"Round up points","Zaokrúhliť body"
"If yes, the points will be rounded. Otherwise, it will be floored.","Ak áno, body budú zaokrúhlené, ak nie, desatinná časť bude odstránená"
"Referral points","Body za odporučenie"
"Referral points (%1)","Body za odporučenie (%1)"
"Points earned when referred friend orders.","Body získané za objednávku priateľa"
"Referral child points","Body za priateľov"
"Points earned by referred friend for first order.","Body získané odporučeným priateľom za prvú objednávku"
"Select email template (Referral subscribe)","Vyberte emailovú šablónu (prihlásenie na odporučenie)"
"Select email template (Referral confirm)","Vyberte emailovú šablónu (potvrdenie odporučenia)"
"Referrals","Odporúčania"
"Catalog point rules","Pravidlá katalógových bodov"
"Cart point rules","Pravidlá košíkových bodov"
"Order details","Detaily objednávky"
"Customer ID","ID zákazníka"
"Store ID","ID obchody"
"Points are","Body sú"
"Order ID","ID objednávky"
"Points Spent","Minuté body"
"Related to Order ID","V súvislosti s ID objednávky"
"Not related to Order ID","Nesúvisiace s ID objednávky"
"Registration points","Body za registráciu"
"Registration Points","Body za registráciu"
"Points earned upon customer registration.","Body získané za registráciu zákazníka"
"This shopping cart is worth %1 loyalty point(s).","Za tento nákupný košík môžete získať <b>%1 vernostných bodov</b>."
"You have %1 loyalty point(s) available.","Momentálne máte na Vašom účet k dispozícii %1 vernostných bodov."
"To get a discount you need at least %1 loyalty point(s).","Aby ste získali zľavu, potrebujete aspoň %1 bodov."
"Enter quantity of loyalty point(s) you want to use.","Zadajte počet vernostných bodov, ktoré chcete použiť."
"%1 loyalty point(s)","%1 vernostných bodov"
"You are currently using %1 point(s) of your %2 loyalty point(s) available.","Momentálne používate %1 bodov z celkových %2, ktoré máte k dispozícii."
"Not enough points available.","Nemáte dosť bodov."
"The minimum required points is not reached.","Minimálny požadovaný počet bodov nebol dosiahnutý."
"Amount of points wrongly used.","Body boli nesprávne použité."
"Please enter a valid email address.","Prosím, zadajte platnú emailovú adresu."
"Please enter your friend name.","Prosím, zadajte meno Vášho priateľa."
"This email has been already submitted.","Táto emailová adresa už bola použitá."
"This email was successfully invited.","El correo electrónico se ha enviado correctamente."
"There was a problem with the invitation.","Vyskytol sa problém s pozvánkou."
"Referral","Odporúčanie"
"Referred Friends","Odporučte priateľom"
My Referred Friends,"Odporučte priateľom"
"Friend's name","Meno priateľa"
"Friend's email address","Emailová adresa priateľa"
"* Required Fields","* povinné údaje"
"Refer a friend","Odporučiť priateľovi"
"Full Name","Plné meno"
"Email","Email"
"Coupon codes restriction","Obmedzenia kupónu"
"If yes, customers will not be able to use coupon codes and reward points at the same time within an order.","Ak áno, zákazník nebude môcť používať kupón kódy a vernostné body súčasne v rámci jednej objednávky."
"With this product, you earn <span id='j2t-pts'>%1</span> loyalty point(s).","Za tento produkt získate <span id='j2t-pts'>%1</span> vernostných bodov."
"With this product, you earn <span class='j2t-pts'>%1</span> loyalty points.","Za tento produkt získate <span class='j2t-pts'>%1</span> vernostných bodov."
"Registered?","Zaregistrovaný?"
"First order?","Prvá objednávka?"
"Show referral link","Ukázať linku pre odporučenie"
"Show Referral Link","Ukázať linku pre odporučenie"
"Show refer a friend link in user account.","Ukázať linku pre odporučenie na účte používateľa"
"Apply store scope","Aplikovať na obchod (nie globálne)"
"Apply Store Scope","Aplikovať na obchod (nie globálne)"
"If yes, the points collected will be available only for the store where the points were earned.","Ak áno, získané body budú k dispozícii iba pre obchod, kde boli získané."
"Client points","Klientske body"
